S.No,File,Requirement,Type
47,1,The system shall refresh the display every 60 seconds.,PE
48,1,The application shall match the color of the schema set forth by Department of Homeland Security,LF
49,1,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US
50,1,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A
51,1,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US
52,1,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE
53,1,The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US
54,1,The product shall respond fast to keep up-to-date data in the display.,PE
55,1,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F
56,1,The system shall display Events in a vertical table by time.,F
57,1,The system shall display the Events in a graph by time.,F
58,1,The system shall display Events or Activities.,F
59,1,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F
60,1,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F
61,1,The table side of the display shall be split into 2 regions: sequential and temporal.,F
62,1,The top 1/4 of the table will hold events that are to occur sequentially.,F
63,1,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F
64,1,The system shall color code events according to their variance from current time.,F
65,1,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,F
66,1,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F
67,1,The system shall allow modification of the display.,F
68,1,The system shall offer a display of all the Events in the exercise.,F
69,1,The system shall filter data by: Venues and Key Events.,F
70,1,The system shall allow a user to define the time segments,F
71,1,The system shall display the local and exercise time in separate clocks,F
72,1,The system shall offer the ability to pause and resume the refresh of data.,F
73,1,The system shall provide charts for the Activity or Event actual versus assumed time.,F
74,1,The system shall provide a history report of changes made to the Activity or Event data,F
75,2,The look and feel of the system shall conform to the user interface standards of the smart device.,LF
76,2,The user interface shall have standard menus buttons for navigation,LF
77,2,The system shall have a professional appearance,LF
78,2,The product shall have a consistent color scheme and fonts.,LF
79,2,The system shall be used by realtors with no training.,US
80,2,The system shall be intuitive and self explanatory.,US
81,2,The product shall be easy for a realtor to learn.,US
82,2,The product shall use symbols and words that are naturally understandable by the realtor community.,US
83,2,The product shall produce search results in an acceptable time,PE
84,2,The search results shall be returned no later 30 seconds  after the user has entered the search criteria,PE
85,2,The product shall generate a CMA report in an acceptable time.,PE
86,2,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE
87,2,The product shall synchronize contacts and appointments in an acceptable time.,PE
88,2,The product shall synchronize with the office system every hour.,PE
89,2,The product shall be available for use 24 hours per day 365 days  per year,A
90,2,Out of 1000 accesses to the system the system is available 999 times.,A
91,2,The product shall operate in offline mode whenever internet connection is unavailable.,FT
92,2,The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,FT
93,2,The product shall retain user preferences in the event of a failure.,FT
94,2,100% of saved user preferences shall be restored when system comes back online.,FT
95,2,The product shall be able to support multiple remote users,SC
96,2,The product shall be able support 1000 simultaneous users.,SC
97,2,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC
98,2,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,US
99,2,90% of untrained realtors shall be able to install the product on their device without printed instructions,US
100,2,The product is expected to run on Windows CE and Palm operating systems.,PO
101,2,Only registered realtors shall be able to access the system.,SE
102,2,Every user of the system shall be authenticated and authorized.,SE
103,2,The product shall prevent its data from incorrect data being introduced.,SE
104,2,The system shall allow a real estate agent to query MLS information,F
105,2,The user shall be able to get driving directions to a selected property,F
106,2,The user shall be able to download appointments and contact information for clients,F
107,2,The system shall display clear property images in the search results,F
108,2,The system shall update or create new property listings in the MLS,F
109,2,Realtor shall be able to generate a CMA report based on property criteria,F
110,2,The system shall be able to call the seller or buyer to schedule an appointment,F
111,2,The realtor shall be notified of new client appointments after automatic synchronization with office system,F
112,2,The realtor shall be able to retrieve a map showing property locations for a specified area,F
113,2,The system shall notify the realtor when a seller or buyer responds to an appointment request,F
114,2,The product shall allow the user to save the property search results.,F
115,3,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,US
116,3,All of the users shall be able to use the system after one day of training.,US
117,3,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,US
118,3,The number of mistakes noted by the students shall be decreased by 50% in the first year.,US
119,3,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,US
120,3,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,US
121,3,The system shall use symbols and words that are naturally understandable by the user community.,US
122,3,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,US
123,3,Staff members shall be able to complete a set of tasks in a timely manner.,PE
124,3,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE
125,3,The system shall be available for use between the hours of 8am and 6pm.,A
126,3,The system shall achieve 95% up time.,A
127,3,system shall be able to handle all of the user requests/usage during business hours.,SC
128,3,The system shall cater to 10 simultaneous users from 9am to 5pm.,SC
129,3,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SC
130,3,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC
131,3,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O
132,3,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O
133,3,The system shall operate within the Windows XP Professional operating system.,O
134,3,The system shall interface with CampusConnect\92s central server,O
135,3,The system shall interface with the faculty central server.,O
136,3,The system shall interface with the student master server.,O
137,3,We must be able to interface with any HTML browser.,O
138,3,Only authorized users shall have access to clinical site information.,SE
139,3,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SE
140,3,Only authorized users shall have access to students\92 personal information.,SE
141,3,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.,SE
142,3,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SE
143,3,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,SE
144,3,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,SE
145,3,The system shall protect private information in accordance with the organization\92s information policy.,SE
146,3,The system shall be built such that it is as secure as possible from malicious interference.,SE
147,3,The system shall use the organization\92s standard virus protection software to help monitor threats to itself.,SE
148,3,A cohort shall be associated to one Program of Study offered by the department.,F
149,3,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,F
150,3,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,F
151,3,Students added to a cohort shall be eligible for the cohort\92s Program of Study.,F
152,3,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,F
153,3,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,F
154,3,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,F
155,3,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,F
156,3,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,F
157,3,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,F
158,3,A class shall be either a non-clinical class or a clinical class.,F
159,3,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,F
160,3,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,F
161,3,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,F
162,3,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,F
163,3,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,F
164,3,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.,F
165,3,The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,F
166,3,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,F
167,3,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,F
168,3,Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,F
169,3,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,F
170,3,A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,F
171,3,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,F
172,3,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,F
173,3,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,F
174,3,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,F
175,3,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,F
176,3,A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,F
177,3,The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,F
178,3,The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,F
179,3,The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,F
180,3,The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,F
181,3,The system shall be able to display a printable summary of the system log.,F
182,3,The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,F
183,3,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,F
184,3,The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,F
185,3,The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,F
186,3,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,F
187,3,The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).,F
188,3,The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student\92s status from full time to part time and moving a student to a different clinical section.,F
189,3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,F
190,3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name  and required classes for that Program of Study.,F
191,3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,F
192,3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name the department/section for the lab  the class instructor day and time of lab and contact information.,F
193,3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name phone number e-mail status (full time or part time) and program of study.,F
194,4,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,LF
195,4,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,LF
196,4,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,US
197,4,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US
198,4,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,US
199,4,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,US
200,4,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE
201,4,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PE
202,4, The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O
203,4,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O
204,4,The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,O
205,4,The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,O
206,4,The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O
207,4,The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,O
208,4,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SE
209,4,Only users with Update access must be able to initiate dispute requests.,SE
210,4,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SE
211,4,All authorized users  once authenticated must be able to logon to the Disputes System,SE
212,4,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.,SE
213,4,All additions of new users and modifications to user\92s access shall be recorded on the User Report.,SE
214,4,If a user account is revoked  it can only be re-instantiated by the System Administrator.,SE
215,4,Only the System Administrator shall be able to reset a revoked user logon account,SE
216,4,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,SE
217,4,All updates to data files or database must be initiated from the Disputes System.,SE
218,4,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,L
219,4,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,L
220,4,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,L
221,4,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L
222,4,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L
223,4,All actions that modify an existing dispute case must be recorded in the case history.,L
224,4,The Disputes System must be accessible by both internal and external users.,F
225,4,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,F
226,4,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F
227,4,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,F
228,4,The Disputes System shall provide view access capability for authorized users of the application.,F
229,4,The Disputes System shall provide update access capability for authorized users of the application.,F
230,4,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F
231,4,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,F
232,4,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F
233,4,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F
234,4,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,F
235,4,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F
236,4,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F
237,4,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,F
238,4,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,F
239,4,The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,F
240,4,The Disputes System must provide the ability to view existing dispute cases.,F
241,4,The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,F
242,4,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,F
243,4,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F
244,4,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F
245,4,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,F
246,4,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F
247,4,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,F
248,4,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,F
249,5,The product must support Internet Explorer 5.5 and above.,O
250,5,The product must support Mozilla Firefox 1.0 and above.,O
251,5,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,O
252,5,The product shall run on the existing hardware for all environments.,O
253,5,The product shall adhere to the corporate Architecture guidelines,O
254,5,The product shall comply with corporate User Interface Guidelines,LF
255,5,The product shall comply with corporate color scheme,LF
256,5,The appearance of the product shall appear professional,LF
257,5,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US
258,5,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US
259,5,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,US
260,5,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,US
261,5,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,US
262,5,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,PE
263,5,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,PE
264,5,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,PE
265,5,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE
266,5,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,A
267,5,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A
268,5,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC
269,5,The average number of recycled parts records per day shall be 50 000.,SC
270,5,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SC
271,5,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O
272,5,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O
273,5,The maintenance of the product will fall within the established corporate maintenance windows.,O
274,5,The product shall be supported using the corporate support center.,O
275,5,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O
276,5,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SE
277,5,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE
278,5,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,SE
279,5,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SE
280,5,One insurance company shall not be able to view another insurance companys claim data.,SE
281,5,The product shall free of computer viruses.,SE
282,5,The system shall prevent malicious attacks including denial of service.,SE
283,5,The product must comply with Sarbanes-Oxley.,L
284,5,The product shall comply with the estimatics laws relating to recycled parts usage.,L
285,5,The product shall comply with insurance regulations regarding claims processing.,L
286,5,The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,F
287,5,The vehicle data shall include vehicle year make and model,F
288,5,The vehicle location shall include street address city state and zipcode,F
289,5,The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,F
290,5,The search radius shall be between 1 and 30 miles,F
291,5,The system shall locate the preferred repair facility with the highest ratings for the input criteria,F
292,5,The adjuster shall enter the preferred repair facility on the estimate assignment.,F
293,5,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,F
294,5,The preferred repair facility shall be returned to the user.,F
295,5,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F
296,5,The estimator shall search for available recycled parts using damaged vehicle parts information.,F
297,5,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,F
298,5,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,F
299,5,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,F
300,5,The system shall retain the available recycled parts and suppliers returned from the search.,F
301,5,The available recycled parts information and their suppliers shall be returned to the user.,F
302,5,The estimator shall apply selected recycled parts to the collision estimate.,F
303,5,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,F
304,5,The adjuster shall review the collision estimate.,F
305,5,The adjuster shall request a recycled parts audit of the collision estimate.,F
306,5,The recycled parts search results provided to the estimator shall be retrieved by the system.,F
307,5,The system shall generate an audit report based on the available recycled parts and the collision estimate.,F
308,5,The audit report shall include the total number of recycled parts used in the estimate.,F
309,5,The audit report shall include the number of available recycled parts from the original search results.,F
310,5,The audit report shall include the percentage of available recycled parts used in the estimate ,F
311,5,The audit report shall include the total score of the audit which sums the indivual line items.,F
312,5,The audit report shall be displayed to the user.,F
313,5,The audit report shall be available to other adjusters at later points in time.,F
314,5,The user shall select to view the preferred repair facility ratings.,F
315,5,The current repair facility ratings shall be displayed to the user.,F
316,5,The system will display a blank set of ratings if there are not ratings yet defined.,F
317,5,The user shall enter new ratings based on the audit report,F
318,5,The ratings shall be from a scale of 1-10,F
319,5,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,F
320,5,The user shall select to save the preferred repair facility ratings.,F
321,5,The preferred repair facility ratings shall be saved by the system.,F
322,6,The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O
323,6,The product will function alongside server software on any operating system where the Java runtime can be installed.,O
324,6,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O
325,6,The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,O
326,6,A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,O
327,6,The product\92s Look and Feel shall be able to incorporate aspects of the customer\92s organization such as logo  branding  and identity,LF
328,6,The product shall have a conservative and professional appearance.,LF
329,6,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US
330,6,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US
331,6,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,US
332,6,The product shall allow the user to select a chosen language from one of the target market countries.,US
333,6,The product shall allow for customization of start page and views preferences.,US
334,6,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,US
335,6,The product shall use a standard navigation menu familiar to most web users.,US
336,6,The product shall allow for intuitive searching of available conference rooms.,US
337,6,The product shall conform to the Americans with Disabilities Act.,US
338,6,The response shall be fast enough to avoid interrupting the user\92s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,PE
339,6,Aside from server failure  the software product shall achieve 99.99% up time.,A
340,6,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT
341,6,The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC
342,6,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,SC
343,6,The product shall be expected to operate for at least 5 years for each customer installation.,SC
344,6,The product shall be used in office environments.,O
345,6,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O
346,6,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O
347,6,The product must be able to interface with various email servers. The product shall be able to send email.,O
348,6,The product shall be available for distribution via the Internet as a binary or ZIP file.,O
349,6,The product shall be available for distribution as a packaged CD.,O
350,6,The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,O
351,6,A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,US
352,6,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MN
353,6,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product\92s software code.,MN
354,6,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN
355,6,Every registered user will have access to the product\92s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,US
356,6,The customer shall be able to easily integrate new building maps with the product throughout the product\92s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,MN
357,6,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,US
358,6,The product is expected to integrate with multiple database management systems. The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,O
359,6,The product shall be able to be installed in any operating environment within 2 days.,O
360,6,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,SE
361,6,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,SE
362,6,The product shall ensure that the database\92s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,SE
