ID,Project,Requirement_Text,NFR_Class,Domain,Source_URL
1,HAPI FHIR,The Payment Processor shall respond to user requests within 5 seconds under normal load.,PE,Healthcare,https://github.com/example/HAPIFHIR
2,GridLAB-D,The GridLAB-D system shall maintain an availability of 99.9% over a infinity period.,RE,Energy,https://github.com/example/GridLAB-D
3,Mifos X,Modules shall be decoupled to ensure changes in IoT Sensor Hub do not affect others.,MN,FinTech,https://github.com/example/MifosX
4,Open Bank Project,The Payment Processor shall respond to user requests within 500ms under normal load.,PE,FinTech,https://github.com/example/OpenBankProject
5,GridLAB-D,The code cyclomatic complexity shall not exceed 10 per function.,MN,Energy,https://github.com/example/GridLAB-D
6,Apache Fineract,The Apache Fineract system shall generate authorize logs no larger than 1GB per day.,MN,FinTech,https://github.com/example/ApacheFineract
7,Prometheus,The Prometheus system shall retain backups for at least 1 month.,RE,Cloud,https://github.com/example/Prometheus
8,ThingsBoard,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,IoT,https://github.com/example/ThingsBoard
9,Apache Fineract,The IoT Sensor Hub shall enter sleep mode after 1 second of inactivity.,EN,FinTech,https://github.com/example/ApacheFineract
10,Eclipse Kura,All data at rest shall be encrypted using RSA-2048.,SE,IoT,https://github.com/example/EclipseKura
11,OpenEMS,The Database Cluster shall enter sleep mode after 30 seconds of inactivity.,EN,Energy,https://github.com/example/OpenEMS
12,Mifos X,The Data Lake shall sanitize all inputs to prevent injection attacks covering GDPR.,SE,FinTech,https://github.com/example/MifosX
13,Kubernetes,The Kubernetes system shall run on devices with as little as 500GB of RAM.,PO,Cloud,https://github.com/example/Kubernetes
14,Open Bank Project,The Open Bank Project system shall reduce watthour usage by 0.01% during off-peak hours.,EN,FinTech,https://github.com/example/OpenBankProject
15,HAPI FHIR,The UI Frontend shall sanitize all inputs to prevent injection attacks covering GDPR.,SE,Healthcare,https://github.com/example/HAPIFHIR
16,Kubernetes,Modules shall be decoupled to ensure changes in Payment Processor do not affect others.,MN,Cloud,https://github.com/example/Kubernetes
17,Mifos X,The Mifos X system shall process 1 million events/hour with a latency of less than 2 seconds.,PE,FinTech,https://github.com/example/MifosX
18,Mifos X,The Mifos X system shall retain backups for at least 5 years.,RE,FinTech,https://github.com/example/MifosX
19,Istio,All data at rest shall be encrypted using TLS 1.3.,SE,Cloud,https://github.com/example/Istio
20,Kubernetes,The Data Lake shall recover from a crash within 30 seconds.,RE,Cloud,https://github.com/example/Kubernetes
21,OpenEMS,The UI Frontend shall not exceed 10% of idle power in idle state.,EN,Energy,https://github.com/example/OpenEMS
22,Mifos X,The Mifos X system shall run on devices with as little as 100MB of RAM.,PO,FinTech,https://github.com/example/MifosX
23,GridLAB-D,The IoT Sensor Hub shall recover from a crash within 5 minutes.,RE,Energy,https://github.com/example/GridLAB-D
24,ThingsBoard,The application must be deployable via Docker containers of size less than 128 bits.,PO,IoT,https://github.com/example/ThingsBoard
25,GridLAB-D,The Data Lake shall not exceed 100 kilowatts of power consumption in idle state.,EN,Energy,https://github.com/example/GridLAB-D
26,Open Bank Project,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,FinTech,https://github.com/example/OpenBankProject
27,Eclipse Kura,The Database Cluster shall sanitize all inputs to prevent injection attacks covering SOC2.,SE,IoT,https://github.com/example/EclipseKura
28,OpenEMS,Modules shall be decoupled to ensure changes in Data Lake do not affect others.,MN,Energy,https://github.com/example/OpenEMS
29,OpenEMS,The application must be deployable via Docker containers of size less than 4KB.,PO,Energy,https://github.com/example/OpenEMS
30,Istio,The application must be deployable via Docker containers of size less than 4KB.,PO,Cloud,https://github.com/example/Istio
31,OpenEMR,All data at rest shall be encrypted using RSA-2048.,SE,Healthcare,https://github.com/example/OpenEMR
32,GridLAB-D,The GridLAB-D system shall reduce idle power by 95% during off-peak hours.,EN,Energy,https://github.com/example/GridLAB-D
33,Prometheus,Modules shall be decoupled to ensure changes in IoT Sensor Hub do not affect others.,MN,Cloud,https://github.com/example/Prometheus
34,Kubernetes,The Kubernetes system shall retain backups for at least 7 years.,RE,Cloud,https://github.com/example/Kubernetes
35,Vault,Database queries shall expire after 100ms to prevent resource exhaustion.,PE,Security,https://github.com/example/Vault
